,id,owner_1_score,RATE_owner_1,CAP_AMOUNT_owner_1,PERCENT_OWN_owner_1,owner_2_score,RATE_owner_2,CAP_AMOUNT_owner_2,PERCENT_OWN_owner_2,owner_3_score,RATE_owner_3,CAP_AMOUNT_owner_3,PERCENT_OWN_owner_3,years_in_business,RATE_ID_FOR_years_in_business,fsr,RATE_ID_FOR_fsr,location,RATE_ID_FOR_location,funded_last_30,RATE_ID_FOR_funded_last_30,judgement_lien_percent,RATE_ID_FOR_judgement_lien_percent,INPUT_VALUE_ID_FOR_judgement_lien_amount,RATE_ID_FOR_judgement_lien_amount,INPUT_VALUE_ID_FOR_judgement_lien_time,RATE_ID_FOR_judgement_lien_time,INPUT_VALUE_ID_FOR_num_negative_days,RATE_ID_FOR_num_negative_days,INPUT_VALUE_ID_FOR_num_deposits,RATE_ID_FOR_num_deposits,INPUT_VALUE_ID_FOR_monthly_gross,RATE_ID_FOR_monthly_gross,INPUT_VALUE_ID_FOR_average_ledger,RATE_ID_FOR_average_ledger,INPUT_VALUE_ID_FOR_fc_margin,RATE_ID_FOR_fc_margin,INPUT_VALUE_ID_FOR_tax_lien_amount,RATE_ID_FOR_tax_lien_amount,INPUT_VALUE_ID_FOR_tax_lien_percent,RATE_ID_FOR_tax_lien_percent,INPUT_VALUE_ID_FOR_tax_lien_count,RATE_ID_FOR_tax_lien_count,INPUT_VALUE_ID_FOR_current_position,RATE_ID_FOR_current_position,INPUT_VALUE_ID_FOR_avg_net_deposits,RATE_ID_FOR_avg_net_deposits,INPUT_VALUE_ID_FOR_industry_type,RATE_ID_FOR_industry_type,INPUT_VALUE_owner_4,RATE_owner_4,CAP_AMOUNT_owner_4,PERCENT_OWN_owner_4,deal_application_thread_id,completion_status
31,192,652,A,150000,100,,,,,,,,,4.71,A,,,Home,A,N,,0,A,0,A,,,3.25,C,10,R,990199.79,A,28797.065,A,0.03,A,0,A,0,A,0,A,1,A,990199.79,,preferred,,652,A,150000,,201,Default
1431,4477,590,B,100000,100,,,,,,,,,0.03,D,6,,Home,A,N,,0,A,0,A,,,0,A,17.66666667,A,83851.5,A,13550.07667,A,0.16,A,0,A,0,A,0,A,0,A,83851.5,,preferred,,590,B,100000,100,4410,Paid in full
752,4933,606,A,150000,100,,,,,,,,,9.42,A,79,,Verified,A,N,,0,A,0,A,,,0,A,66,A,53789,A,3000,A,0.06,A,0,A,0,A,0,A,1,A,53789,,preferred,,606,A,150000,100,4615,Default
1657,6287,564,B,100000,50,547,C,35000,50,,,,,1.45,B,8,,Verified,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,555,B,100000,100,5581,Paid in full
1736,6329,713,A,150000,100,,,,,,,,,21.64,A,80,,Verified,A,N,,0,A,0,A,,,0,A,10.5,R,164320.45,A,48517.7075,A,0.3,A,0,A,0,A,0,A,2,C,164320.45,,preferred,,713,A,150000,100,5603,Paid off with renewal
359,1722,549,C,35000,100,,,,,,,,,8.67,A,23,,Verified,A,N,,0,A,0,A,,,1,A,30,A,37771,A,8834.25,A,0.23,A,0,A,0,A,0,A,1,A,37771,,preferred,,549,C,35000,100,1694,Default
1656,6242,568,B,100000,100,,,,,,,,,3.42,A,86,,Verified,A,N,,0,A,0,A,,,0.142857143,A,19.71428571,A,86904.42857,A,19131.85714,A,0.22,A,0,A,0,A,0,A,1,A,86904.42857,,preferred,,568,B,100000,100,5521,Paid in full
1585,6440,506,C,35000,100,,,,,,,,,2.23,A,39,,Verified,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,506,C,35000,100,5713,Paid in full
1385,3216,677,A,150000,100,,,,,,,,,11.51,A,,,Home,A,N,,0,A,0,A,,,0.5,A,35.75,A,92250.25,A,9163.98,A,0.1,A,0,A,0,A,0,A,0,A,92250.25,,preferred,,677,A,150000,100,3381,Default
990,6407,662,A,150000,100,,,,,,,,,4.04,A,5,,Verified,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,662,A,150000,100,5659,Paid in full
524,4046,620,A,150000,100,,,,,,,,,1.23,B,47,,Verified,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,620,A,150000,100,4052,Paid in full
1691,5956,747,A,150000,1000,,,,,,,,,17.04,A,18,,Verified,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,747,A,150000,1000,5366,Paid in full
1162,1695,713,A,150000,100,,,,,,,,,3.08,A,80,,Verified,A,N,,0,A,0,A,,,0,A,34.66666667,A,785371,A,127546.85,A,0.16,A,0,A,0,A,0,A,2,C,785371,,capped,,713,A,150000,100,633,Paid in full
1172,2609,542,C,35000,100,,,,,,,,,25.9,A,,,Home,A,N,,0,A,0,A,,,0.857142857,A,29.71428571,A,81253.71429,A,6892.571429,A,0.08,A,0,A,0,A,0,A,1,A,81253.71429,,preferred,,542,C,35000,100,2724,Paid in full
909,5150,684,A,150000,100,,,,,,,,,9.76,A,19,,Verified,A,N,,0,A,0,A,,,1.25,B,44.25,A,25058.165,A,879.75,D,0.04,A,0,A,0,A,0,A,0,A,25058.165,,preferred,,684,A,150000,100,4755,Paid in full
980,6118,502,C,35000,100,,,,,,,,,9.17,A,5,,Verified,A,N,,0,A,0,A,,,1.5,B,35.25,A,24178.315,A,1701.75,A,0.07,A,0,A,0,A,0,A,1,A,24178.315,,preferred,,502,C,35000,100,5452,Paid in full
643,4553,712,A,150000,100,,,,,,,,,28.91,A,,,Home,A,N,,0,A,0,A,,,0,A,50,A,45533.6725,A,5000,A,0.11,A,0,A,0,A,0,A,1,A,45533.6725,,preferred,,712,A,150000,100,4431,Paid off with renewal
601,3232,643,A,150000,100,,,,,,,,,13.55,A,51,,Verified,A,N,,0,A,0,A,,,0,A,15,A,47185.25,A,7635.5,A,0.16,A,0,A,0,A,0,A,2,C,47185.25,,preferred,,643,A,150000,100,3392,Default
1858,8869,704,A,150000,100,,,,,,,,,3.11,A,31,,Home,A,N,,0,A,0,A,,,0,A,0,C,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,704,A,150000,100,7526,Paid in full
1216,3442,619,A,150000,100,,,,,,,,,1.36,B,,,Home,A,N,,0,A,0,A,,,0.666666667,A,8.333333333,R,23603.33333,A,1760.706667,A,0.07,A,0,A,0,A,0,A,0,A,23603.33333,,preferred,,619,A,150000,100,3593,Default
248,1111,634,A,150000,100,,,,,,,,,6.8,A,86,,Verified,A,N,,0,A,0,A,,,0,A,1.666666667,R,22445,A,0,D,0,D,0,A,0,A,0,A,1,A,22445,,capped,,634,A,150000,100,765,Paid off with renewal
1755,7633,591,B,100000,100,,,,,,,,,4.15,A,86,,Verified,A,N,,0,A,0,A,,,6.454545455,D,5,C,86255.36364,A,24108.45455,A,0.28,A,0,A,0,A,0,A,0,A,86255.36364,,standard,,591,B,100000,100,6445,Paid in full
1820,8125,730,A,150000,100,,,,,,,,,2.29,A,74,,Home,A,N,,0,A,0,A,,,0.333333333,A,70,A,2291481,A,218279.3333,A,0.1,A,0,A,0,A,0,A,0,A,2291481,,capped,,730,A,150000,100,6974,Paid in full
318,1770,674,A,150000,100,,,,,,,,,0.69,C,53,,Verified,A,N,,0,A,0,A,,,0.2,A,201,A,113396.4,A,5479.4,A,0.05,A,0,A,0,A,0,A,1,A,113396.4,,preferred,,674,A,150000,100,1807,Paid off with renewal
95,275,652,A,150000,100,,,,,,,,,4.73,A,,,Verified,,N,,0,A,0,A,,,0.857142857,A,0,R,289466.8586,A,26000,A,0.09,A,0,A,0,A,0,A,2,C,289466.8586,,preferred,,652,A,150000,100,201,Default
217,1108,634,A,150000,100,,,,,,,,,6.8,A,86,,Verified,A,N,,0,A,0,A,,,0,A,1.666666667,R,22445,A,0,D,0,D,0,A,0,A,0,A,1,A,22445,,preferred,,634,A,150000,100,765,Paid off with renewal
1934,9895,645,B,100000,100,,,,,,,,,5.78,A,56,,Verified,A,N,,0,A,0,A,,,0,A,75.625,A,245861.5,A,18755.125,A,0.08,A,0,A,0,A,0,A,1,A,245861.5,,preferred,,645,B,100000,100,7602,Paid off with renewal
598,3125,649,A,150000,100,,,,,,,,,18.93,A,70,,Home,A,N,,0,A,0,A,,,0,A,11.5,A,53664.67,A,11488.5,A,0.21,A,0,A,0,A,0,A,1,A,53664.67,,preferred,,649,A,150000,100,3266,Paid in full
1787,7123,606,A,150000,100,,,,,,,,,4.43,A,79,,Verified,A,N,,0,A,0,A,,,0,A,66.75,A,54014.945,A,1396.4575,A,0.03,A,0,A,0,A,0,A,1,A,54014.945,,preferred,,606,A,150000,100,4615,Default
372,1760,650,A,150000,100,,,,,,,,,8.67,A,23,,Verified,A,N,,0,A,0,A,,,1,A,30,A,37771,A,8834.25,A,0.23,A,0,A,0,A,0,A,1,A,37771,,preferred,,650,A,150000,100,1694,Default
1050,6743,517,C,35000,100,,,,,,,,,39.36,A,74,,Verified,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,517,C,35000,100,5998,Paid in full
744,4804,600,A,150000,51,647,A,150000,49,,,,,4.82,A,,,Verified,A,N,,0,A,0,A,,,0,A,0,R,58165,A,2500,A,0.04,A,0,A,0,A,0,A,1,A,58165,,preferred,,623,A,150000,100,4443,Default
1181,3777,539,C,35000,100,,,,,,,,,4.53,A,6,,Verified,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,539,C,35000,100,3856,Default
1534,4869,609,A,150000,100,,,,,,,,,4.95,A,4,,Home,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,609,A,150000,100,4618,Paid in full
1200,2727,663,A,150000,100,,,,,,,,,1.68,B,85,,Home,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,663,A,150000,100,2858,Paid in full
731,5163,612,A,150000,100,,,,,,,,,16.59,A,,,Home,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,612,A,150000,100,4782,Default
211,953,646,A,150000,100,,,,,,,,,11.79,A,,,Verified,A,N,,0,A,0,A,,,0.666666667,A,19.66666667,A,33617.33333,A,1972.333333,A,0.06,A,0,A,0,A,0,A,1,A,33617.33333,,preferred,,646,A,150000,100,870,Default
191,721,620,A,150000,100,,,,,,,,,109.24,A,,,Verified,A,N,,0,A,0,A,,,0,A,26,A,277388.564,A,7000,A,0.03,A,0,A,0,A,0,A,2,C,277388.564,,preferred,,620,A,150000,100,576,Paid in full
952,6723,683,A,150000,100,,,,,,,,,11.81,A,89,,Verified,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,683,A,150000,100,5981,Paid off with renewal
1179,3563,549,C,35000,100,,,,,,,,,5.94,A,,,Home,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,549,C,35000,100,3666,Paid in full
101,505,632,A,150000,50,669,A,150000,50,,,,,8.5,A,31,,Home,A,N,,0,A,0,A,,,0,A,6.75,R,33005.0975,A,6198.4175,A,0.19,A,0,A,0,A,0,A,0,A,33005.0975,,capped,,650,A,150000,100,203,Paid in full
60,408,586,B,100000,100,,,,,,,,,4.11,A,4,,Verified,A,N,,0,A,0,A,,,0.6,A,5.4,R,112759.8,A,63689,A,0.56,A,0,A,0,A,0,A,1,A,112759.8,,preferred,,586,B,100000,100,324,Paid in full
1845,7496,549,C,35000,100,,,,,,,,,4.07,A,18,,Unknown,,N,,0,A,0,A,,,0,A,0,C,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,549,C,35000,100,6536,Default
1766,7555,691,A,150000,100,,,,,,,,,4.36,A,73,,Verified,A,N,,0,A,0,A,,,0,A,80,A,91464.66667,A,13682.83333,A,0.15,A,0,A,0,A,0,A,1,A,91464.66667,,preferred,,691,A,150000,100,6407,Paid in full
613,4512,505,C,35000,100,,,,,,,,,6.98,A,6,,Verified,A,N,,0,A,0,A,,,1,A,23.75,A,103631.675,A,5852.5125,A,0.06,A,0,A,0,A,0,A,2,C,103631.675,,preferred,,505,C,35000,100,4468,Default
633,4180,544,C,35000,100,,,,,,,,,1.49,B,6,,Verified,A,N,,0,A,0,A,,,1.5,B,30,A,16709.25,A,980.25,D,0.06,A,0,A,0,A,0,A,2,C,16709.25,,preferred,,544,C,35000,100,4165,Default
1686,5776,658,A,150000,100,,,,,,,,,12.1,A,4,,Home,A,N,,0,A,0,A,,,0,A,12.66666667,A,14649.73667,A,1145.486667,A,0.08,A,0,A,0,A,0,A,0,A,14649.73667,,preferred,,658,A,150000,100,5215,Paid in full
29,153,620,A,150000,0,,,,0,,,,0,8.13,A,,,Home,,N,,0,A,0,A,,,0,A,73.25,A,130551.27,A,27761,A,0.21,A,0,A,0,A,0,A,2,C,130551.27,,preferred,,,,,,153,Paid off with renewal
1333,3154,650,A,150000,100,,,,,,,,,5.76,A,40,,Verified,A,N,,0,A,0,A,,,2.125,C,10.125,R,40528.75,A,5029.375,A,0.12,A,0,A,0,A,0,A,0,A,40528.75,,preferred,,650,A,150000,100,3286,Paid in full
143,699,612,A,150000,100,,,,,,,,,6.02,A,80,,Home,A,N,,0,A,0,A,,,0.333333333,A,23.33333333,A,67252.67667,A,12688.33333,A,0.19,A,0,A,0,A,0,A,2,C,67252.67667,,preferred,,612,A,150000,100,569,Paid in full
1500,3807,600,A,150000,100,,,,,,,,,11.37,A,75,,,,N,,0,A,0,A,,,1.666666667,B,81.22222222,A,135836.4444,A,16430.17222,A,0.12,A,0,A,0,A,0,A,1,A,135836.4444,,,,600,A,150000,100,88,Paid in full
1158,2436,568,B,100000,50,,,,50,,,,,7.88,A,65,,Verified,A,N,,0,A,0,A,,,2.333333333,C,45,A,32970.66667,A,1649.666667,A,0.05,A,0,A,0,A,0,A,0,A,32970.66667,,preferred,,568,B,100000,50,2546,Paid off with renewal
695,3784,585,B,100000,100,,,,,,,,,12.24,A,1,,Verified,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,585,B,100000,100,3870,Paid in full
564,3369,688,A,150000,100,,,,,,,,,11.94,A,,,Home,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,688,A,150000,100,3521,Default
1968,10799,621,B,100000,100,,,,,,,,,6.17,A,,,Home,A,N,,0,A,0,A,,,0,A,0,C,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,621,B,100000,100,8844,Paid in full
1490,4753,519,C,35000,100,,,,,,,,,0.98,C,,,Home,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,519,C,35000,100,4604,Paid in full
287,1410,595,B,100000,100,,,,,,,,,5.7,A,24,,Home,A,N,,0,A,0,A,,,1.75,B,38.75,A,14581,A,572.7975,D,0.04,A,0,A,0,A,0,A,1,A,14581,,preferred,,595,B,100000,100,1371,Default
1443,3792,498,D,0,100,,,,,,,,,26.96,A,54,,Verified,A,N,,0,A,0,A,,,0.5,A,27.25,A,41224.25,A,9573.08,A,0.23,A,0,A,0,A,0,A,0,A,41224.25,,preferred,,498,D,0,100,3876,Paid off with renewal
1682,5536,479,D,0,50,,,,,,,,,3.58,A,,,Home,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,479,D,0,50,5028,Paid in full
24,108,650,A,150000,0,650,A,150000,0,,,,0,31.31,A,,,,,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,,,0,,,,,,,,138,Paid in full
277,1297,564,B,100000,100,,,,,,,,,7.72,A,35,,Verified,A,N,,0,A,0,A,,,0,A,28.66666667,A,88215.66667,A,10655.09333,A,0.12,A,0,A,0,A,0,A,1,A,88215.66667,,preferred,,564,B,100000,100,1236,Paid off with renewal
1935,9972,696,A,150000,100,,,,,,,,,11.24,A,89,,Home,A,N,,0,A,0,A,,,0,A,0,C,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,696,A,150000,100,8279,Paid in full
307,1697,645,A,150000,50,452,D,0,50,,,,,2.51,A,55,,Verified,A,N,,0,A,0,A,,,1.5,B,45.5,A,104422.75,A,15640.75,A,0.15,A,0,A,0,A,0,A,1,A,104422.75,,preferred,,548,C,35000,100,1711,Default
123,669,696,A,150000,100,,,,,,,,,8.86,A,6,,Verified,A,N,,0,A,0,A,,,0,A,25.4,A,91694.4,A,28085.2,A,0.31,A,0,A,0,A,0,A,1,A,91694.4,,capped,,696,A,150000,100,549,Paid off with renewal
235,939,744,A,150000,90,,,,,,,,,4.2,A,,,Verified,A,N,,0,A,0,A,,,0,A,125,A,102433.25,A,12222.5,A,0.12,A,0,A,0,A,0,A,1,A,102433.25,,preferred,,744,A,150000,90,811,Paid in full
64,398,609,A,150000,100,,,,,,,,,4.73,A,,,Verified,A,N,,0,A,0,A,,,1,A,10.5,R,137265.92,A,29186.83,A,0.21,A,0,A,0,A,0,A,0,A,137265.92,,capped,,609,A,150000,100,303,Default
1418,5092,606,A,150000,100,,,,,,,,,9.42,A,79,,Verified,A,N,,0,A,0,A,,,0,A,66,A,53789,A,3000,A,0.06,A,0,A,0,A,0,A,1,A,53789,,preferred,,606,A,150000,100,4615,Default
304,1537,625,A,150000,100,,,,,,,,,2.78,A,23,,Home,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,625,A,150000,100,1522,Paid in full
1189,2629,542,C,35000,100,,,,,,,,,7.44,A,23,,Home,A,N,,0,A,0,A,,,2.333333333,C,29.33333333,A,45553.5,A,2737.166667,A,0.06,A,0,A,0,A,0,A,1,A,45553.5,,preferred,,542,C,35000,100,2724,Paid in full
1927,9717,593,B,100000,100,,,,,,,,,14.23,A,6,,Home,A,N,,0,A,0,A,,,0,A,0,C,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,593,B,100000,100,8128,Default
1351,4152,659,A,150000,100,,,,,,,,,1.12,B,,,Home,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,659,A,150000,100,4171,Default
1671,6916,673,A,150000,100,,,,,,,,,1.84,B,83,,Verified,A,N,,0,A,0,A,,,1,A,2.5,R,250953,A,41752,A,0.17,A,0,A,0,A,0,A,0,A,250953,,capped,,673,A,150000,100,6100,Paid in full
1326,3852,539,C,35000,100,,,,,,,,,4.46,A,6,,Verified,A,N,,0,A,0,A,,,0.333333333,A,47.66666667,A,30153,A,3377.333333,A,0.11,A,0,A,0,A,0,A,0,A,30153,,preferred,,539,C,35000,100,3856,Default
966,5956,747,A,150000,1000,,,,,,,,,17.04,A,18,,Verified,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,747,A,150000,1000,5366,Paid in full
1910,9955,573,C,35000,100,,,,,,,,,7.65,A,,,Home,A,N,,0,A,0,A,,,0,A,0,C,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,573,C,35000,100,8262,Paid in full
370,1538,625,A,150000,100,,,,,,,,,2.78,A,23,,Home,A,N,,0,A,0,A,,,3.6,C,21,A,56987.8,A,2511.8,A,0.04,A,0,A,0,A,0,A,0,A,56987.8,,preferred,,625,A,150000,100,1522,Paid in full
1893,8334,650,A,150000,100,,,,,,,,,10.25,A,27,,Verified,A,N,,0,A,0,A,,,0.4,A,81.2,A,68463.6,A,2969.4,A,0.04,A,0,A,0,A,0,A,0,A,68463.6,,preferred,,650,A,150000,100,5871,Paid in full
962,5885,643,A,150000,50,582,B,100000,50,,,,,11.2,A,7,,Verified,A,N,,0,A,0,A,,,0,A,35.33333333,A,42483.02333,A,6065.703333,A,0.14,A,0,A,0,A,0,A,1,A,42483.02333,,preferred,,612,A,150000,100,5301,Paid off with renewal
537,3378,688,A,150000,100,,,,,,,,,11.94,A,56,,Verified,A,N,,0,A,0,A,,,0,A,83.66666667,A,184539.93,A,27124.04,A,0.15,A,0,A,0,A,0,A,4,D,184539.93,,preferred,,688,A,150000,100,3521,Default
342,1689,534,C,35000,50,,,,,,,,,2.82,A,3,,Verified,A,N,,0,A,0,A,,,0.666666667,A,4.666666667,R,10621.66667,D,680.3333333,D,0.06,A,0,A,0,A,0,A,1,A,10621.66667,,preferred,,534,C,35000,50,1700,Default
1973,8755,620,B,100000,100,,,,,,,,,4.42,A,,,Home,A,N,,0,A,0,A,,,0,A,0,C,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,620,B,100000,100,7460,Paid via discounted payoff
1687,5885,643,A,150000,50,582,B,100000,50,,,,,11.2,A,7,,Verified,A,N,,0,A,0,A,,,0,A,35.33333333,A,42483.02333,A,6065.703333,A,0.14,A,0,A,0,A,0,A,1,A,42483.02333,,preferred,,612,A,150000,100,5301,Paid off with renewal
603,3315,9002,R,,100,,,,,,,,,0.93,C,6,,Verified,A,N,,0,A,0,A,,,0.333333333,A,30,A,23013.33333,A,3949,A,0.17,A,0,A,0,A,0,A,0,A,23013.33333,,preferred,,9002,R,,100,3435,Paid off with renewal
1304,4159,537,C,35000,100,,,,,,,,,10.02,A,17,,Verified,A,N,,0,A,0,A,,,0.2,A,32.6,A,108504.4,A,12460.4,A,0.11,A,0,A,0,A,0,A,2,C,108504.4,,standard,,537,C,35000,100,4122,Default
1698,6271,713,A,150000,100,,,,,,,,,21.56,A,80,,Verified,A,N,,0,A,0,A,,,0,A,10.5,R,164320.45,A,48517.7075,A,0.3,A,0,A,0,A,0,A,1,A,164320.45,,preferred,,713,A,150000,100,5603,Paid off with renewal
344,1534,605,A,150000,100,,,,,,,,,12.49,A,,,Verified,A,N,,0,A,0,A,,,0,A,13,A,96636.75,A,13500,A,0.14,A,0,A,0,A,0,A,1,A,96636.75,,preferred,,605,A,150000,100,1294,Default
